name,row,mean,se,distribution,lower_bound,upper_bound,ln_mean,ln_sd,description,source
cDR,9,0.04,,,,,,,Cost discount rate (cycles 0-39),
oDR,10,0.04,,,,,,,Outcome discount rate (cycles 0-39),
Cohort,14,7500,,,,,,,,
Cohort_20_30,15,0.053,0.0106,Direchlet,53,,,,,
Cohort_31_40,16,0.21,0.042,Direchlet,210,,,,,
Cohort_41_50,17,0.316,0.0632,Direchlet,316,,,,,
Cohort_51_60,18,0.295,0.059,Direchlet,295,,,,,
Cohort_over60,19,0.126,0.0252,Direchlet,126,,,,,
rOAT_allcausemortality_20_29,24,0.00708333333333333,0.0014166666666666661,Log-normal,0.004306666666666665,0.009859999999999996,-4.950010672279821,0.21131050505567864,OAT vs no OAT paper,
rOAT_allcausemortality_30_39,25,0.0089622641509434,0.0017924528301886799,Log-normal,0.005449056603773587,0.012475471698113211,-4.714732388499617,0.21131050505567864,OAT vs no OAT paper,
rOAT_allcausemortality_40_49,26,0.0139175257731959,0.0027835051546391803,Log-normal,0.008461855670103106,0.019373195876288694,-4.274606386053043,0.21131050505567875,OAT vs no OAT paper,
rOAT_allcausemortality_50_59,27,0.0230769230769231,0.00461538461538462,Log-normal,0.014030769230769244,0.032123076923076956,-3.7689221617874717,0.21131050505567864,OAT vs no OAT paper,
rOAT_allcausemortality_60_69,28,0.0618012246614368,0.012360244932287361,Log-normal,0.03757514459415358,0.08602730472872003,-2.7838320981867333,0.21131050505567864,OAT vs no OAT paper,
rOAT_allcausemortality_70_79,29,0.18276246626160378,0.03655249325232076,Log-normal,0.11111957948705509,0.25440535303615247,-1.6995679678409983,0.2113105050556787,OAT vs no OAT paper,
rOAT_allcausemortality_80_89,30,0.591678349579371,0.11833566991587421,Log-normal,0.3597404365442576,0.8236162626144845,-0.5247921201677246,0.21131050505567867,OAT vs no OAT paper,
rOAT_allcausemortality_90,31,1,,Log-normal,1,1,0,0,OAT vs no OAT paper,
pOAT_allcausemortality_20_29,33,0.007058305655770258,,,,,,,,
pOAT_allcausemortality_30_39,34,0.008922222771347132,,,,,,,,
pOAT_allcausemortality_40_49,35,0.013821124750812541,,,,,,,,
pOAT_allcausemortality_50_59,36,0.022812687372701257,,,,,,,,
pOAT_allcausemortality_60_69,37,0.05993026910049415,,,,,,,,
pOAT_allcausemortality_70_79,38,0.16703401023446152,,,,,,,,
pOAT_allcausemortality_80_89,39,0.44660228993682516,,,,,,,,
pOAT_allcausemortality_90,40,0.6321205588285577,,,,,,,,
r_OAT_to_COPD,43,0.007400174007261012,0.0014800348014522024,Log-normal,0.004499305796414695,0.010301042218107329,-4.906251764553743,0.21131050505567864,check prevalence and incidence excel file,
r_OAT_to_lungcancer,44,0.0014959995871833495,0.0002991999174366699,Log-normal,0.0009095677490074765,0.0020824314253592227,-6.504960675376848,0.21131050505567864,check prevalence and incidence excel file,
r_OAT_to_IHD,45,0.005107251287810913,0.0010214502575621827,Log-normal,0.0031052087829890355,0.007109293792632791,-5.277093927943053,0.2113105050556784,check prevalence and incidence excel file,
r_OAT_to_stroke,46,0.0018749688773074553,0.0003749937754614911,Log-normal,0.0011399810774029328,0.0026099566772119775,-6.2791632184668815,0.21131050505567864,check prevalence and incidence excel file,
prv_light_smoker,49,0.5174,0.10348,Direchlet,517.4,,,,from RCT data,
prv_moderate_smoker,50,0.3745,0.07490000000000001,Direchlet,374.5,,,,from RCT data,
prv_heavy_smoker,51,0.10810000000000003,0.021620000000000007,Direchlet,108.10000000000002,,,,from RCT data,
RR_COPD_due_to_opioid,54,3.29,3.13 to 3.46,Log-normal,3.13,3.46,1.1908875647772805,0.02557077204178664,https://bmjmedicine.bmj.com/content/1/1/e000215,
RR_lungcancer_due_to_opioid,55,1.86,,Log-normal,1.43,2.4,0.62057648772511,0.13209280812463378,https://www.sciencedirect.com/science/article/pii/S1556086423009346?via%3Dihub,
RR_IHD_due_to_opioid,56,1,,,,,,,no result ,
RR_stroke_due_to_opioid,57,1,,,,,,,no result ,
RR_IHD_to_COPD,60,1,,,,,,,"No concrete finding, so we use  the general risk of COPD among OAT patients in IHD patient population","ihd to copd no link, OAT to IHD no link, only OAT to copd  reflected on p_ihd to copd"
RR_IHD_to_Lungcancer,61,1,,,,,,,"No concrete finding, so we use  the general risk of COPD among OAT patients in IHD patient population",
RR_IHD_to_Stroke,62,2.77,0.131,Log-normal,2.51324,3.02676,1.0188473201992472,0.047429438641947284,NorCad / korman and wisløff supp,
RR_IHD_to_secondary_IHD,63,3.05,0.291,Log-normal,2.47964,3.62036,1.1151415906193203,0.09654771287699984,NorCad /korman and wisløff supp,
RR_COPD_to_Stroke,64,1.3,(1.18-1.43),Log-normal,1.18,1.43,0.26236426446749106,0.049021310419471026,Stroke risk among patients with chronic obstructive pulmonary disease: A systematic review and meta-analysis - ScienceDirect,
RR_COPD_to_Lungcancer,65,2.44,1.73-3.45,Log-normal,1.73,3.45,0.8919980393051105,0.17608813936842901,Chronic obstructive pulmonary disease and risk of lung cancer: a meta-analysis of prospective cohort studies - PMC,
RR_Stroke__MS__to_Stroke__SS,66,4.3,3.29-4.62,Log-normal,3.29,4.62,1.4586150226995167,0.08661055585570859,NorCad,
RR_Stroke_AS__to_secondary_stroke,67,2.82,0.167,Log-normal,2.49268,3.1473199999999997,1.0367368849500223,0.059489067656217816,NorCad /korman and wisløff supp,
RR_Stroke_to_Lungcancer,68,1,,,,,,,"No concrete finding, so we use  the general risk of lung cancer among OAT patients in stroke patient population",
RR_COPD_mortality,71,1.6,1.4–2.0,Log-normal,1.4,2,0.47000362924573563,0.09099017807269393,"for moderate (1.6) for severe (2.7), https://thorax.bmj.com/content/58/5/388 and https://www.tandfonline.com/doi/full/10.3109/15412555.2010.510160#d1e126",
RR_IHD_mortality_20_54,72,1.9,0.0068,Log-normal,1.886672,1.913328,0.6418538861723947,0.0035790718389697275,"NorCad (actual value is from 30-39, we assumed it similar for 20-29 as well)",
RR_IHD_mortality_55_64,73,2.66,0.048,Log-normal,2.56592,2.75408,0.9783261227936078,0.01805297452424968,korman & wisloff et al https://academic.oup.com/ehjcvp/article/4/1/15/3746062?login=true ,
RR_IHD_mortality_65_74,74,2.161,0.059,Log-normal,2.04536,2.27664,0.770571077524749,0.027328782451806588,korman & wisloff et al https://academic.oup.com/ehjcvp/article/4/1/15/3746062?login=true ,
RR_IHD_mortality_75_84,75,1.781,0.072,Log-normal,1.63988,1.9221199999999998,0.5771750043075246,0.04051239624504503,korman & wisloff et al https://academic.oup.com/ehjcvp/article/4/1/15/3746062?login=true ,
RR_IHD_mortality_85_89,76,1.26,0.103,Log-normal,1.05812,1.46188,0.23111172096338664,0.0824580279562933,korman & wisloff et al https://academic.oup.com/ehjcvp/article/4/1/15/3746062?login=true ,
RR_IHD_mortality_90above,77,1,,,,,,,korman & wisloff et al https://academic.oup.com/ehjcvp/article/4/1/15/3746062?login=true ,
RR_Stroke__AS__mortality_20_39,78,5.7,0.19,Log-normal,5.3276,6.0724,1.7404661748405046,0.03338149572232877,korman & wisloff et al https://academic.oup.com/ehjcvp/article/4/1/15/3746062?login=true ,
RR_Stroke__AS__mortality_40_79,79,3.4,0.113,Log-normal,3.17852,3.62148,1.2237754316221157,0.03328303566872197,korman & wisloff et al https://academic.oup.com/ehjcvp/article/4/1/15/3746062?login=true ,
RR_Stroke__AS__mortality_80above,80,1,,,,,,,korman & wisloff et al https://academic.oup.com/ehjcvp/article/4/1/15/3746062?login=true ,
RR_Stroke__MS__mortality__compared_to_AS,81,2,1.5-2.5,Log-normal,1.5,2.5,0.6931471805599453,0.1303150536936694,NorCad,
RR_Stroke__SS__mortality__compared_to_AS,82,3,2.25-3.75,Log-normal,2.25,3.75,1.0986122886681098,0.1303150536936694,NorCad,
RR_lungcancer_mortality_20_70,83,1,,,,,,,https://bmcpulmmed.biomedcentral.com/articles/10.1186/1471-2466-8-22/tables/4 and https://pmc.ncbi.nlm.nih.gov/articles/PMC10754488/,
RR_lungcancer_mortality_70above,84,1.93,1.41-3.54,,1.41,3.28,0.6575200029167941,0.2153748039926604,https://bmcpulmmed.biomedcentral.com/articles/10.1186/1471-2466-8-22/tables/4 and https://pmc.ncbi.nlm.nih.gov/articles/PMC10754488/,
p_IHD_to_COPD,88,0.024052585380227254,,,,,,,,
p_IHD_to_Lungcancer,89,0.0027786915024481385,,,,,,,,
p_IHD_to_Stroke,90,0.005180200037179228,,,,,,,,
p_IHD_to_secondary_IHD,91,0.015456420659729853,,,,,,,,
p_COPD_to_Stroke,92,0.002434491348099921,,,,,,,,
p_COPD_to_Lungcancer,93,0.006766448321236185,,,,,,,,
p_Stroke__MS__to_Stroke__SS,94,0.008029952467154766,,,,,,,,
p_Stroke_AS__to_secondary_stroke,95,0.005273458473867176,,,,,,,,
p_Stroke_to_Lungcancer,96,0.0027786915024481385,,,,,,,,
p_Stroke_to_Stroke_MS__first_year,98,0.072,0.00612,Direchlet,72,,,,NorCad,
p_Stroke_to_Stroke_SS__first_year,99,0.169,0.00561,Direchlet,169,,,,NorCad,
p_Stroke_to_Stroke_AS__first_year,100,0.421,0.01435,Direchlet,421,,,,,
p_COPD_mortality_20_29,104,0.011269353042534624,,,,,,,,
p_COPD_mortality_30_39,105,0.014237299926354141,,,,,,,,
p_COPD_mortality_40_49,106,0.02202193853335155,,,,,,,,
p_COPD_mortality_50_59,107,0.03624973286627231,,,,,,,,
p_COPD_mortality_60_69,108,0.09415037130619186,,,,,,,,
p_COPD_mortality_70_79,109,0.25354500066127683,,,,,,,,
p_COPD_mortality_80_89,110,0.6119749421385244,,,,,,,,
p_COPD_mortality_90above,111,0.7981034820053446,,,,,,,,
p_IHD_mortality_20_29,113,0.013368174879326622,,,,,,,,
p_IHD_mortality_30_39,114,0.01688413979260983,,,,,,,,
p_IHD_mortality_40_49,115,0.026096736410918808,,,,,,,,
p_IHD_mortality_50_54,116,0.042898807515708626,,,,,,,,
p_IHD_mortality_55_59,117,0.059538545737614745,,,,,,,,
p_IHD_mortality_60_64,118,0.1515899899304951,,,,,,,,
p_IHD_mortality_65_69,119,0.12501842194130974,,,,,,,,
p_IHD_mortality_70_74,120,0.3262860667804395,,,,,,,,
p_IHD_mortality_75_79,121,0.277833785367375,,,,,,,,
p_IHD_mortality_80_84,122,0.6513822191005825,,,,,,,,
p_IHD_mortality_85_89,123,0.5255099926454907,,,,,,,,
p_IHD_mortality_90above,124,0.6321205588285577,,,,,,,,
p_Stroke__AS__mortality_20_29,126,0.03957078934029512,,,,,,,,
p_Stroke__AS__mortality_30_39,127,0.04980201008046836,,,,,,,,
p_Stroke__AS__mortality_40_49,128,0.04621746822049011,,,,,,,,
p_Stroke__AS__mortality_50_59,129,0.07546238161309904,,,,,,,,
p_Stroke__AS__mortality_60_69,130,0.18951639304164536,,,,,,,,
p_Stroke__AS__mortality_70_79,131,0.4628040671023812,,,,,,,,
p_Stroke__AS__mortality_80_89,132,0.44660228993682516,,,,,,,,
